epoch,batch,batchALL,ALLACC,EmotionACC,EmotionF1Score,ActACC,ActF1Score
0,0,0,0.4390,0.6603,0.1806,0.2177,0.1877
0,1,1,0.4388,0.6592,0.1770,0.2183,0.1883
0,2,2,0.4395,0.6603,0.1777,0.2187,0.1885
0,3,3,0.4394,0.6592,0.1686,0.2196,0.1888
0,4,4,0.4409,0.6615,0.1694,0.2204,0.1892
0,5,5,0.4424,0.6637,0.1680,0.2212,0.1897
0,6,6,0.4438,0.6648,0.1670,0.2227,0.1907
0,7,7,0.4438,0.6637,0.1594,0.2239,0.1916
0,8,8,0.4455,0.6659,0.1593,0.2251,0.1922
0,9,9,0.4459,0.6659,0.1597,0.2259,0.1925
0,10,10,0.4510,0.6737,0.1623,0.2283,0.1936
0,11,11,0.4560,0.6804,0.1631,0.2316,0.1956
0,12,12,0.4589,0.6838,0.1484,0.2340,0.1968
0,13,13,0.4605,0.6849,0.1485,0.2360,0.1979
0,14,14,0.4632,0.6883,0.1489,0.2381,0.1990
0,15,15,0.4656,0.6916,0.1495,0.2396,0.1998
0,16,16,0.4674,0.6927,0.1496,0.2420,0.2008
0,17,17,0.4702,0.6950,0.1499,0.2454,0.2027
0,18,18,0.4720,0.6961,0.1500,0.2480,0.2037
0,19,19,0.4743,0.6983,0.1503,0.2503,0.2048
0,20,20,0.4757,0.6983,0.1502,0.2532,0.2063
0,21,21,0.4766,0.6983,0.1502,0.2548,0.2070
0,22,22,0.4778,0.6983,0.1460,0.2573,0.2083
0,23,23,0.4792,0.6961,0.1371,0.2622,0.2113
0,24,24,0.4802,0.6961,0.1371,0.2643,0.2125
0,25,25,0.4812,0.6961,0.1370,0.2663,0.2139
0,26,26,0.4820,0.6961,0.1369,0.2680,0.2145
0,27,27,0.4827,0.6961,0.1369,0.2693,0.2155
0,28,28,0.4838,0.6961,0.1369,0.2716,0.2170
0,29,29,0.4847,0.6961,0.1368,0.2733,0.2181
0,30,30,0.4864,0.6961,0.1368,0.2767,0.2205
0,31,31,0.4872,0.6961,0.1368,0.2784,0.2208
0,32,32,0.4885,0.6961,0.1368,0.2810,0.2220
0,33,33,0.4894,0.6961,0.1368,0.2828,0.2225
0,34,34,0.4898,0.6961,0.1368,0.2834,0.2219
0,35,35,0.4912,0.6961,0.1368,0.2863,0.2227
0,36,36,0.4925,0.6972,0.1369,0.2878,0.2235
0,37,37,0.4935,0.6972,0.1369,0.2898,0.2244
0,38,38,0.4945,0.6972,0.1369,0.2919,0.2251
0,39,39,0.4955,0.6972,0.1369,0.2938,0.2260
0,40,40,0.4969,0.6972,0.1369,0.2966,0.2273
0,41,41,0.4977,0.6983,0.1371,0.2971,0.2267
0,42,42,0.4986,0.6983,0.1371,0.2989,0.2273
0,43,43,0.4995,0.6983,0.1371,0.3006,0.2279
0,44,44,0.4999,0.6983,0.1371,0.3015,0.2278
0,45,45,0.5009,0.6983,0.1371,0.3034,0.2290
0,46,46,0.5021,0.6983,0.1371,0.3059,0.2303
0,47,47,0.5025,0.6983,0.1371,0.3067,0.2294
0,48,48,0.5032,0.6983,0.1371,0.3081,0.2304
0,49,49,0.5039,0.6983,0.1371,0.3094,0.2308
0,50,50,0.5048,0.6983,0.1371,0.3114,0.2317
0,55,55,0.5069,0.6983,0.1371,0.3155,0.2324
0,60,60,0.5078,0.6983,0.1371,0.3173,0.2305
0,65,65,0.5102,0.6983,0.1371,0.3222,0.2308
0,70,70,0.5109,0.6983,0.1371,0.3235,0.2294
0,75,75,0.5097,0.6983,0.1371,0.3211,0.2179
0,80,80,0.5112,0.6983,0.1371,0.3241,0.2179
0,85,85,0.5115,0.6983,0.1371,0.3246,0.2148
0,90,90,0.5143,0.6983,0.1371,0.3302,0.2170
0,95,95,0.5158,0.6983,0.1371,0.3332,0.2167
0,100,100,0.5185,0.6983,0.1371,0.3387,0.2171
0,105,105,0.5211,0.6983,0.1371,0.3439,0.2216
0,110,110,0.5255,0.6983,0.1371,0.3527,0.2316
0,115,115,0.5295,0.6983,0.1371,0.3608,0.2398
0,120,120,0.5355,0.6983,0.1371,0.3726,0.2502
0,125,125,0.5421,0.6983,0.1371,0.3858,0.2621
0,130,130,0.5508,0.6983,0.1371,0.4032,0.2767
0,135,135,0.5604,0.6983,0.1371,0.4225,0.2861
0,140,140,0.5680,0.6983,0.1371,0.4377,0.2920
0,145,145,0.5807,0.6983,0.1371,0.4632,0.3055
0,150,150,0.5954,0.6983,0.1371,0.4925,0.3196
0,155,155,0.6086,0.6983,0.1371,0.5189,0.3308
0,160,160,0.6209,0.6983,0.1371,0.5435,0.3373
0,165,165,0.6297,0.6983,0.1371,0.5610,0.3446
0,170,170,0.6403,0.6983,0.1371,0.5823,0.3543
0,175,175,0.6462,0.6983,0.1371,0.5940,0.3608
0,180,180,0.6501,0.6983,0.1371,0.6019,0.3655
0,185,185,0.6531,0.6983,0.1371,0.6078,0.3704
0,190,190,0.6548,0.6983,0.1371,0.6113,0.3733
0,195,195,0.6562,0.6983,0.1371,0.6142,0.3755
0,200,200,0.6566,0.6983,0.1371,0.6149,0.3764
0,300,300,0.6589,0.6983,0.1371,0.6195,0.3802
0,400,400,0.6589,0.6983,0.1371,0.6195,0.3802
0,500,500,0.6589,0.6983,0.1371,0.6195,0.3802
0,600,600,0.6589,0.6983,0.1371,0.6195,0.3802
0,700,700,0.6589,0.6983,0.1371,0.6195,0.3802
0,800,800,0.6589,0.6983,0.1371,0.6195,0.3802
0,900,900,0.6589,0.6983,0.1371,0.6195,0.3802
0,1000,1000,0.6589,0.6983,0.1371,0.6195,0.3802
0,1100,1100,0.6589,0.6983,0.1371,0.6195,0.3802
0,1200,1200,0.6589,0.6983,0.1371,0.6195,0.3802
0,1300,1300,0.6589,0.6983,0.1371,0.6195,0.3802
